index,province_zh,province_en,city_zh,city_short_zh,city_en,wiki_title_zh,wiki_title_en,lat,lon,slug
194,广东省,Guangdong,惠州市,惠州,惠州,惠州市,,,,city-guangdong-11
195,广东省,Guangdong,梅州市,梅州,梅州,梅州市,,,,city-guangdong-12
196,广东省,Guangdong,汕尾市,汕尾,汕尾,汕尾市,,,,city-guangdong-13
197,广东省,Guangdong,河源市,河源,河源,河源市,,,,city-guangdong-14
198,广东省,Guangdong,阳江市,阳江,阳江,阳江市,,,,city-guangdong-15
199,广东省,Guangdong,清远市,清远,清远,清远市,,,,city-guangdong-16
200,广东省,Guangdong,东莞市,东莞,东莞,东莞市,,,,city-guangdong-17
201,广东省,Guangdong,中山市,中山,中山,中山市,,,,city-guangdong-18
202,广东省,Guangdong,潮州市,潮州,潮州,潮州市,,,,city-guangdong-19
203,广东省,Guangdong,揭阳市,揭阳,揭阳,揭阳市,,,,city-guangdong-20
204,广东省,Guangdong,云浮市,云浮,云浮,云浮市,,,,city-guangdong-21
205,广西壮族自治区,Guangxi,南宁市,南宁,南宁,南宁市,,,,city-guangxi
206,广西壮族自治区,Guangxi,柳州市,柳州,柳州,柳州市,,,,city-guangxi-2
207,广西壮族自治区,Guangxi,桂林市,桂林,桂林,桂林市,,,,city-guangxi-3
208,广西壮族自治区,Guangxi,梧州市,梧州,梧州,梧州市,,,,city-guangxi-4
209,广西壮族自治区,Guangxi,北海市,北海,北海,北海市,,,,city-guangxi-5
210,广西壮族自治区,Guangxi,防城港市,防城港,防城港,防城港市,,,,city-guangxi-6
211,广西壮族自治区,Guangxi,钦州市,钦州,钦州,钦州市,,,,city-guangxi-7
212,广西壮族自治区,Guangxi,贵港市,贵港,贵港,贵港市,,,,city-guangxi-8
213,广西壮族自治区,Guangxi,玉林市,玉林,玉林,玉林市,,,,city-guangxi-9
214,广西壮族自治区,Guangxi,百色市,百色,百色,百色市,,,,city-guangxi-10
215,广西壮族自治区,Guangxi,贺州市,贺州,贺州,贺州市,,,,city-guangxi-11
216,广西壮族自治区,Guangxi,河池市,河池,河池,河池市,,,,city-guangxi-12
217,广西壮族自治区,Guangxi,来宾市,来宾,来宾,来宾市,,,,city-guangxi-13
218,广西壮族自治区,Guangxi,崇左市,崇左,崇左,崇左市,,,,city-guangxi-14
219,海南省,Hainan,海口市,海口,海口,海口市,,,,city-hainan
220,海南省,Hainan,三亚市,三亚,三亚,三亚市,,,,city-hainan-2
221,海南省,Hainan,三沙市,三沙,三沙,三沙市,,,,city-hainan-3
222,海南省,Hainan,儋州市,儋州,儋州,儋州市,,,,city-hainan-4
223,四川省,Sichuan,成都市,成都,成都,成都市,,,,city-sichuan
224,四川省,Sichuan,自贡市,自贡,自贡,自贡市,,,,city-sichuan-2
225,四川省,Sichuan,攀枝花市,攀枝花,攀枝花,攀枝花市,,,,city-sichuan-3
226,四川省,Sichuan,泸州市,泸州,泸州,泸州市,,,,city-sichuan-4
227,四川省,Sichuan,德阳市,德阳,德阳,德阳市,,,,city-sichuan-5
228,四川省,Sichuan,绵阳市,绵阳,绵阳,绵阳市,,,,city-sichuan-6
229,四川省,Sichuan,广元市,广元,广元,广元市,,,,city-sichuan-7
230,四川省,Sichuan,遂宁市,遂宁,遂宁,遂宁市,,,,city-sichuan-8
231,四川省,Sichuan,内江市,内江,内江,内江市,,,,city-sichuan-9
232,四川省,Sichuan,乐山市,乐山,乐山,乐山市,,,,city-sichuan-10
233,四川省,Sichuan,南充市,南充,南充,南充市,,,,city-sichuan-11
234,四川省,Sichuan,眉山市,眉山,眉山,眉山市,,,,city-sichuan-12
235,四川省,Sichuan,宜宾市,宜宾,宜宾,宜宾市,,,,city-sichuan-13
236,四川省,Sichuan,广安市,广安,广安,广安市,,,,city-sichuan-14
237,四川省,Sichuan,达州市,达州,达州,达州市,,,,city-sichuan-15
238,四川省,Sichuan,雅安市,雅安,雅安,雅安市,,,,city-sichuan-16
239,四川省,Sichuan,巴中市,巴中,巴中,巴中市,,,,city-sichuan-17
240,四川省,Sichuan,资阳市,资阳,资阳,资阳市,,,,city-sichuan-18
241,贵州省,Guizhou,贵阳市,贵阳,贵阳,贵阳市,,,,city-guizhou
242,贵州省,Guizhou,六盘水市,六盘水,六盘水,六盘水市,,,,city-guizhou-2
243,贵州省,Guizhou,遵义市,遵义,遵义,遵义市,,,,city-guizhou-3
244,贵州省,Guizhou,安顺市,安顺,安顺,安顺市,,,,city-guizhou-4
245,贵州省,Guizhou,毕节市,毕节,毕节,毕节市,,,,city-guizhou-5
246,贵州省,Guizhou,铜仁市,铜仁,铜仁,铜仁市,,,,city-guizhou-6
247,云南省,Yunnan,昆明市,昆明,昆明,昆明市,,,,city-yunnan
248,云南省,Yunnan,曲靖市,曲靖,曲靖,曲靖市,,,,city-yunnan-2
249,云南省,Yunnan,玉溪市,玉溪,玉溪,玉溪市,,,,city-yunnan-3
250,云南省,Yunnan,保山市,保山,保山,保山市,,,,city-yunnan-4
251,云南省,Yunnan,昭通市,昭通,昭通,昭通市,,,,city-yunnan-5
252,云南省,Yunnan,丽江市,丽江,丽江,丽江市,,,,city-yunnan-6
253,云南省,Yunnan,普洱市,普洱,普洱,普洱市,,,,city-yunnan-7
254,云南省,Yunnan,临沧市,临沧,临沧,临沧市,,,,city-yunnan-8
255,西藏自治区,Tibet,拉萨市,拉萨,拉萨,拉萨市,,,,city-tibet
256,西藏自治区,Tibet,日喀则市,日喀则,日喀则,日喀则市,,,,city-tibet-2
257,西藏自治区,Tibet,昌都市,昌都,昌都,昌都市,,,,city-tibet-3
258,西藏自治区,Tibet,林芝市,林芝,林芝,林芝市,,,,city-tibet-4
259,西藏自治区,Tibet,山南市,山南,山南,山南市,,,,city-tibet-5
260,西藏自治区,Tibet,那曲市,那曲,那曲,那曲市,,,,city-tibet-6
261,陕西省,Shaanxi,西安市,西安,西安,西安市,,,,city-shaanxi
262,陕西省,Shaanxi,铜川市,铜川,铜川,铜川市,,,,city-shaanxi-2
263,陕西省,Shaanxi,宝鸡市,宝鸡,宝鸡,宝鸡市,,,,city-shaanxi-3
264,陕西省,Shaanxi,咸阳市,咸阳,咸阳,咸阳市,,,,city-shaanxi-4
265,陕西省,Shaanxi,渭南市,渭南,渭南,渭南市,,,,city-shaanxi-5
266,陕西省,Shaanxi,汉中市,汉中,汉中,汉中市,,,,city-shaanxi-6
267,陕西省,Shaanxi,延安市,延安,延安,延安市,,,,city-shaanxi-7
268,陕西省,Shaanxi,榆林市,榆林,榆林,榆林市,,,,city-shaanxi-8
269,陕西省,Shaanxi,安康市,安康,安康,安康市,,,,city-shaanxi-9
270,陕西省,Shaanxi,商洛市,商洛,商洛,商洛市,,,,city-shaanxi-10
271,甘肃省,Gansu,兰州市,兰州,兰州,兰州市,,,,city-gansu
272,甘肃省,Gansu,嘉峪关市,嘉峪关,嘉峪关,嘉峪关市,,,,city-gansu-2
273,甘肃省,Gansu,金昌市,金昌,金昌,金昌市,,,,city-gansu-3
274,甘肃省,Gansu,白银市,白银,白银,白银市,,,,city-gansu-4
275,甘肃省,Gansu,天水市,天水,天水,天水市,,,,city-gansu-5
276,甘肃省,Gansu,武威市,武威,武威,武威市,,,,city-gansu-6
277,甘肃省,Gansu,张掖市,张掖,张掖,张掖市,,,,city-gansu-7
278,甘肃省,Gansu,平凉市,平凉,平凉,平凉市,,,,city-gansu-8
279,甘肃省,Gansu,酒泉市,酒泉,酒泉,酒泉市,,,,city-gansu-9
280,甘肃省,Gansu,庆阳市,庆阳,庆阳,庆阳市,,,,city-gansu-10
281,甘肃省,Gansu,定西市,定西,定西,定西市,,,,city-gansu-11
282,甘肃省,Gansu,陇南市,陇南,陇南,陇南市,,,,city-gansu-12
283,青海省,Qinghai,西宁市,西宁,西宁,西宁市,,,,city-qinghai
284,青海省,Qinghai,海东市,海东,海东,海东市,,,,city-qinghai-2
285,宁夏回族自治区,Ningxia,银川市,银川,银川,银川市,,,,city-ningxia
286,宁夏回族自治区,Ningxia,石嘴山市,石嘴山,石嘴山,石嘴山市,,,,city-ningxia-2
287,宁夏回族自治区,Ningxia,吴忠市,吴忠,吴忠,吴忠市,,,,city-ningxia-3
288,宁夏回族自治区,Ningxia,固原市,固原,固原,固原市,,,,city-ningxia-4
289,宁夏回族自治区,Ningxia,中卫市,中卫,中卫,中卫市,,,,city-ningxia-5
290,新疆维吾尔自治区,Xinjiang,乌鲁木齐市,乌鲁木齐,乌鲁木齐,乌鲁木齐市,,,,city-xinjiang
291,新疆维吾尔自治区,Xinjiang,克拉玛依市,克拉玛依,克拉玛依,克拉玛依市,,,,city-xinjiang-2
292,新疆维吾尔自治区,Xinjiang,吐鲁番市,吐鲁番,吐鲁番,吐鲁番市,,,,city-xinjiang-3
293,新疆维吾尔自治区,Xinjiang,哈密市,哈密,哈密,哈密市,,,,city-xinjiang-4
