index,province_zh,province_en,city_zh,city_short_zh,admin_type_zh,division_code,city_en,wiki_title_zh,wiki_title_en,lat,lon,slug,catalog_id,source_station_wmo,source_station_file,source_station_name,source_station_lat,source_station_lon,station_match_quality
75,江苏省,Jiangsu,苏州市,苏州,地级市,320500,Suzhou,苏州市,Suzhou,31.3,120.61666667,suzhou-jiangsu,prefecture-suzhou-jiangsu,583580,CHN_JS_Suzhou.583580_TMYx.zip,苏州,31.267,120.617,city_alias_fallback
76,江苏省,Jiangsu,南通市,南通,地级市,320600,Nantong,南通市,Nantong,31.98,120.895,nantong,prefecture-nantong,548525,CHN_JS_Nantong.548525_TMYx.2011-2025.zip,Nantong,32.02,120.85,direct
77,江苏省,Jiangsu,连云港市,连云港,地级市,320700,Lianyungang,连云港市,Lianyungang,34.597,119.222,lianyungang,prefecture-lianyungang,580270,CHN_JS_Xuzhou.580270_TMYx.2011-2025.zip,徐州,34.2871,117.1587,city_alias_fallback
78,江苏省,Jiangsu,淮安市,淮安,地级市,320800,Huai'an,淮安市,Huai'an,33.55,119.114,huaian,prefecture-huaian,582380,CHN_JS_Nanjing.582380_TMYx.2011-2025.zip,南京,31.9316,118.8996,city_alias_fallback
79,江苏省,Jiangsu,盐城市,盐城,地级市,320900,Yancheng,盐城市,Yancheng,33.347,120.164,yancheng,prefecture-yancheng,591625,CHN_JS_Yancheng.AP.591625_TMYx.2011-2025.zip,Yancheng,33.417,120.2,direct
80,江苏省,Jiangsu,扬州市,扬州,地级市,321000,Yangzhou,扬州市,Yangzhou,32.393,119.415,yangzhou,prefecture-yangzhou,582380,CHN_JS_Nanjing.582380_TMYx.2011-2025.zip,南京,31.9316,118.8996,city_alias_fallback
81,江苏省,Jiangsu,镇江市,镇江,地级市,321100,Zhenjiang,镇江市,Zhenjiang,32.188,119.428,zhenjiang,prefecture-zhenjiang,582380,CHN_JS_Nanjing.582380_TMYx.2011-2025.zip,南京,31.9316,118.8996,city_alias_fallback
82,江苏省,Jiangsu,泰州市,泰州,地级市,321200,Taizhou,泰州市,"Taizhou, Jiangsu",32.455,119.923,taizhou-jiangsu,prefecture-taizhou-jiangsu,582380,CHN_JS_Nanjing.582380_TMYx.2011-2025.zip,南京,31.9316,118.8996,city_alias_fallback
83,江苏省,Jiangsu,宿迁市,宿迁,地级市,321300,Suqian,宿迁市,Suqian,33.9624,118.2757,suqian,prefecture-suqian,580270,CHN_JS_Xuzhou.580270_TMYx.2011-2025.zip,徐州,34.2871,117.1587,city_alias_fallback
84,浙江省,Zhejiang,杭州市,杭州,地级市,330100,Hangzhou,杭州市,Hangzhou,30.24916667,120.20527778,hangzhou,prefecture-hangzhou,584570,CHN_ZJ_Hangzhou.584570_TMYx.2011-2025.zip,杭州,30.2259,120.1649,direct
