catalog_id,division_code,province_zh,city_zh,lat,lon,coordinate_source,geocoder_display_name
prefecture-zunyi,520300,贵州省,遵义市,27.7255,106.9274,catalog,
prefecture-anshun,520400,贵州省,安顺市,26.2531,105.9476,catalog,
prefecture-bijie,520500,贵州省,毕节市,27.2828,105.2917,catalog,
prefecture-tongren,520600,贵州省,铜仁市,27.7316,109.1895,catalog,
prefecture-qianxinan-buyei-and-miao-autonomous-prefecture,522300,贵州省,黔西南布依族苗族自治州,25.0884,104.9064,catalog,
prefecture-qiandongnan-miao-and-dong-autonomous-prefecture,522600,贵州省,黔东南苗族侗族自治州,26.5838,107.9828,catalog,
prefecture-qiannan-buyei-and-miao-autonomous-prefecture,522700,贵州省,黔南布依族苗族自治州,26.254,107.522,catalog,
prefecture-kunming,530100,云南省,昆明市,25.0399353,102.7169061,OpenStreetMap Nominatim,"昆明市, 云南省, 中国"
prefecture-qujing,530300,云南省,曲靖市,25.7199310,103.9861310,OpenStreetMap Nominatim,"曲靖市, 云南省, 655400, 中国"
prefecture-yuxi,530400,云南省,玉溪市,24.3473,102.5272,catalog,
prefecture-baoshan,530500,云南省,保山市,25.112,99.1617,catalog,
prefecture-zhaotong,530600,云南省,昭通市,27.3384,103.7175,catalog,
prefecture-lijiang,530700,云南省,丽江市,26.8548,100.2274,catalog,
prefecture-puer-city,530800,云南省,普洱市,22.8251,100.9665,catalog,
prefecture-lincang,530900,云南省,临沧市,23.8841,100.0889,catalog,
prefecture-chuxiong-yi-autonomous-prefecture,532300,云南省,楚雄彝族自治州,25.0455,101.5281,catalog,
prefecture-honghe-hani-and-yi-autonomous-prefecture,532500,云南省,红河哈尼族彝族自治州,23.3627,103.375,catalog,
prefecture-wenshan-zhuang-and-miao-autonomous-prefecture,532600,云南省,文山壮族苗族自治州,23.4007,104.2162,catalog,
prefecture-xishuangbanna-dai-autonomous-prefecture,532800,云南省,西双版纳傣族自治州,22.0087,100.7969,catalog,
prefecture-dali-bai-autonomous-prefecture,532900,云南省,大理白族自治州,25.6096,100.2664,catalog,
prefecture-dehong-dai-and-jingpo-autonomous-prefecture,533100,云南省,德宏傣族景颇族自治州,24.4334,98.5848,catalog,
prefecture-nujiang-lisu-autonomous-prefecture,533300,云南省,怒江傈僳族自治州,25.8176,98.8565,catalog,
prefecture-diqing-tibetan-autonomous-prefecture,533400,云南省,迪庆藏族自治州,27.8187,99.7022,catalog,
prefecture-lhasa,540100,西藏自治区,拉萨市,29.64944444,91.09833333,catalog,
prefecture-shigatse,540200,西藏自治区,日喀则市,29.1058406,86.8753983,OpenStreetMap Nominatim,"日喀则市 གཞིས་ཀ་རྩེ་གྲོང་ཁྱེར།, 西藏自治区 བོད་རང་སྐྱོང་ལྗོངས།, 中国"
prefecture-chamdo,540300,西藏自治区,昌都市,31.1434873,97.1712342,OpenStreetMap Nominatim,"昌都市 ཆབ་མདོ་ས་ཁུལ།, 西藏自治区 བོད་རང་སྐྱོང་ལྗོངས།, 854200, 中国"
prefecture-nyingchi,540400,西藏自治区,林芝市,29.5487912,94.6384738,OpenStreetMap Nominatim,"林芝市 ཉིང་ཁྲི་གྲོང་ཁྱེར།, 西藏自治区 བོད་རང་སྐྱོང་ལྗོངས།, 860000, 中国"
prefecture-shannan,540500,西藏自治区,山南市,28.7628486,91.7523138,OpenStreetMap Nominatim,"山南市 ལྷོ་ཁ་ས་ཁུལ།, 西藏自治区 བོད་རང་སྐྱོང་ལྗོངས།, 856700, 中国"
prefecture-nagqu,540600,西藏自治区,那曲市,31.47815278,92.04845556,catalog,
prefecture-ngari-prefecture,542500,西藏自治区,阿里地区,33.1046322,82.5656969,OpenStreetMap Nominatim,"阿里地区 མངའ་རིས་ས་ཁུལ་, 西藏自治区 བོད་རང་སྐྱོང་ལྗོངས།, 中国"
prefecture-xian,610100,陕西省,西安市,34.25916667,108.94527778,catalog,
prefecture-tongchuan,610200,陕西省,铜川市,34.8979,108.9448,catalog,
prefecture-baoji,610300,陕西省,宝鸡市,34.3632,107.2378,catalog,
prefecture-xianyang,610400,陕西省,咸阳市,34.3296,108.7091,catalog,
prefecture-weinan,610500,陕西省,渭南市,34.4993,109.5031,catalog,
prefecture-yanan,610600,陕西省,延安市,36.5855,109.4897,catalog,
prefecture-hanzhong,610700,陕西省,汉中市,33.0675,107.0233,catalog,
prefecture-yulin-shaanxi,610800,陕西省,榆林市,38.2854,109.7347,catalog,
prefecture-ankang,610900,陕西省,安康市,32.6847,109.029,catalog,
prefecture-shangluo,611000,陕西省,商洛市,33.8704,109.9405,catalog,
prefecture-lanzhou,620100,甘肃省,兰州市,36.061,103.832,catalog,
prefecture-jiayuguan-city,620200,甘肃省,嘉峪关市,39.7721,98.2888,catalog,
prefecture-jinchang,620300,甘肃省,金昌市,38.52,102.187,catalog,
prefecture-baiyin,620400,甘肃省,白银市,36.545,104.138,catalog,
prefecture-tianshui,620500,甘肃省,天水市,34.576,105.709,catalog,
prefecture-wuwei,620600,甘肃省,武威市,37.928,102.641,catalog,
prefecture-zhangye,620700,甘肃省,张掖市,38.931,100.453,catalog,
prefecture-pingliang,620800,甘肃省,平凉市,35.544,106.665,catalog,
