index,province_zh,province_en,city_zh,city_short_zh,admin_type_zh,division_code,city_en,wiki_title_zh,wiki_title_en,lat,lon,slug
169,湖北省,Hubei,鄂州市,鄂州,地级市,420700,Ezhou,鄂州市,Ezhou,,,ezhou
170,湖北省,Hubei,荆门市,荆门,地级市,420800,Jingmen,荆门市,Jingmen,31.0354,112.1995,jingmen
171,湖北省,Hubei,孝感市,孝感,地级市,420900,Xiaogan,孝感市,Xiaogan,30.9176,113.9571,xiaogan
172,湖北省,Hubei,荆州市,荆州,地级市,421000,Jingzhou,荆州市,Jingzhou,30.335,112.24,jingzhou
173,湖北省,Hubei,黄冈市,黄冈,地级市,421100,Huanggang,黄冈市,Huanggang,30.4537,114.8722,huanggang
174,湖北省,Hubei,咸宁市,咸宁,地级市,421200,Xianning,咸宁市,Xianning,,,xianning
175,湖北省,Hubei,随州市,随州,地级市,421300,Suizhou,随州市,Suizhou,31.6901,113.3825,suizhou
176,湖北省,Hubei,恩施土家族苗族自治州,恩施土家族苗族,自治州,422800,Enshi Tujia and Miao Autonomous Prefecture,恩施土家族苗族自治州,Enshi Tujia and Miao Autonomous Prefecture,30.272,109.488,enshi-tujia-and-miao-autonomous-prefecture
177,湖南省,Hunan,长沙市,长沙,地级市,430100,Changsha,长沙市,Changsha,,,changsha
178,湖南省,Hunan,株洲市,株洲,地级市,430200,Zhuzhou,株洲市,Zhuzhou,27.828,113.134,zhuzhou
179,湖南省,Hunan,湘潭市,湘潭,地级市,430300,Xiangtan,湘潭市,Xiangtan,27.83,112.944,xiangtan
180,湖南省,Hunan,衡阳市,衡阳,地级市,430400,Hengyang,衡阳市,Hengyang,26.893,112.572,hengyang
181,湖南省,Hunan,邵阳市,邵阳,地级市,430500,Shaoyang,邵阳市,Shaoyang,27.239,111.4675,shaoyang
182,湖南省,Hunan,岳阳市,岳阳,地级市,430600,Yueyang,岳阳市,Yueyang,29.3567,113.1289,yueyang
183,湖南省,Hunan,常德市,常德,地级市,430700,Changde,常德市,Changde,29.0317,111.6987,changde
184,湖南省,Hunan,张家界市,张家界,地级市,430800,Zhangjiajie,张家界市,Zhangjiajie,29.117,110.479,zhangjiajie
185,湖南省,Hunan,益阳市,益阳,地级市,430900,Yiyang,益阳市,Yiyang,28.554,112.355,yiyang
186,湖南省,Hunan,郴州市,郴州,地级市,431000,Chenzhou,郴州市,Chenzhou,25.77,113.0161,chenzhou
187,湖南省,Hunan,永州市,永州,地级市,431100,Yongzhou,永州市,Yongzhou,26.42,111.613,yongzhou
188,湖南省,Hunan,怀化市,怀化,地级市,431200,Huaihua,怀化市,Huaihua,27.5695,110.0017,huaihua
189,湖南省,Hunan,娄底市,娄底,地级市,431300,Loudi,娄底市,Loudi,27.7,111.993,loudi
190,湖南省,Hunan,湘西土家族苗族自治州,湘西土家族苗族,自治州,433100,Xiangxi Tujia and Miao Autonomous Prefecture,湘西土家族苗族自治州,Xiangxi Tujia and Miao Autonomous Prefecture,28.312,109.739,xiangxi-tujia-and-miao-autonomous-prefecture
191,广东省,Guangdong,广州市,广州,地级市,440100,Guangzhou,广州市,Guangzhou,23.11666667,113.25,guangzhou
192,广东省,Guangdong,韶关市,韶关,地级市,440200,Shaoguan,韶关市,Shaoguan,24.8108,113.5966,shaoguan
193,广东省,Guangdong,深圳市,深圳,地级市,440300,Shenzhen,深圳市,Shenzhen,22.62,114.07,shenzhen
194,广东省,Guangdong,珠海市,珠海,地级市,440400,Zhuhai,珠海市,Zhuhai,22.2711,113.577,zhuhai
195,广东省,Guangdong,汕头市,汕头,地级市,440500,Shantou,汕头市,Shantou,23.354,116.6821,shantou
196,广东省,Guangdong,佛山市,佛山,地级市,440600,Foshan,佛山市,Foshan,23.022,113.1207,foshan
197,广东省,Guangdong,江门市,江门,地级市,440700,Jiangmen,江门市,Jiangmen,22.59777778,113.09083333,jiangmen
198,广东省,Guangdong,湛江市,湛江,地级市,440800,Zhanjiang,湛江市,Zhanjiang,21.2719,110.3604,zhanjiang
199,广东省,Guangdong,茂名市,茂名,地级市,440900,Maoming,茂名市,Maoming,21.6627,110.9259,maoming
200,广东省,Guangdong,肇庆市,肇庆,地级市,441200,Zhaoqing,肇庆市,Zhaoqing,23.047,112.465,zhaoqing
201,广东省,Guangdong,惠州市,惠州,地级市,441300,Huizhou,惠州市,Huizhou,23.112,114.415,huizhou
202,广东省,Guangdong,梅州市,梅州,地级市,441400,Meizhou,梅州市,Meizhou,24.289,116.122,meizhou
203,广东省,Guangdong,汕尾市,汕尾,地级市,441500,Shanwei,汕尾市,Shanwei,22.786,115.375,shanwei
204,广东省,Guangdong,河源市,河源,地级市,441600,Heyuan,河源市,Heyuan,23.7437,114.7007,heyuan
205,广东省,Guangdong,阳江市,阳江,地级市,441700,Yangjiang,阳江市,Yangjiang,21.8584,111.9816,yangjiang
206,广东省,Guangdong,清远市,清远,地级市,441800,Qingyuan,清远市,Qingyuan,23.682,113.056,qingyuan
207,广东省,Guangdong,东莞市,东莞,地级市,441900,Dongguan,东莞市,Dongguan,23.021,113.7517,dongguan
208,广东省,Guangdong,中山市,中山,地级市,442000,Zhongshan,中山市,Zhongshan,22.51666667,113.38333333,zhongshan
209,广东省,Guangdong,潮州市,潮州,地级市,445100,Chaozhou,潮州市,Chaozhou,23.66666667,116.63333333,chaozhou
210,广东省,Guangdong,揭阳市,揭阳,地级市,445200,Jieyang,揭阳市,Jieyang,23.5487,116.3723,jieyang
211,广东省,Guangdong,云浮市,云浮,地级市,445300,Yunfu,云浮市,Yunfu,22.9155,112.0447,yunfu
212,广西壮族自治区,Guangxi,南宁市,南宁,地级市,450100,Nanning,南宁市,Nanning,22.8161,108.3664,nanning
213,广西壮族自治区,Guangxi,柳州市,柳州,地级市,450200,Liuzhou,柳州市,Liuzhou,24.3262,109.4284,liuzhou
214,广西壮族自治区,Guangxi,桂林市,桂林,地级市,450300,Guilin,桂林市,Guilin,25.2344,110.1799,guilin
215,广西壮族自治区,Guangxi,梧州市,梧州,地级市,450400,Wuzhou,梧州市,Wuzhou,23.4771,111.2788,wuzhou
216,广西壮族自治区,Guangxi,北海市,北海,地级市,450500,Beihai,北海市,Beihai,21.4811,109.1205,beihai
217,广西壮族自治区,Guangxi,防城港市,防城港,地级市,450600,Fangchenggang,防城港市,Fangchenggang,21.6868,108.3538,fangchenggang
218,广西壮族自治区,Guangxi,钦州市,钦州,地级市,450700,Qinzhou,钦州市,Qinzhou,21.98,108.654,qinzhou
